clientId,fullName,username,password,email,phone,streetAddress,city,state,postalCode,country,postalStreetAddress,postCity,postalState,postalPostalCode,postalCountry,poBoxAddress,outstandingBalance,transactionHistory,accountCreationDate,lastLoginDate,accountStatus
CL0001,Adam Wu,jessicaburns,28IpwMoG#p,david18@lewis-gonzalez.org,+1-272-696-9674x68989,5412 Linda Point Apt. 725,Port Lindsey,Missouri,78533,Saudi Arabia,933 Madison Circles Apt. 347,Sarahstad,Arkansas,3114,Uzbekistan,,831.34,16 transactions,8/3/2023,2/3/2024,Inactive
CL0002,Daniel Robertson,kathy85,^0sJr)qT!$,gregory48@yahoo.com,100.850.8500x24803,01660 Sharon Street,North Rebecca,Montana,92783,Congo,01660 Sharon Street,North Rebecca,Montana,92783,Congo,,175.7,2 transactions,11/28/2021,4/16/2023,Suspended
CL0003,Daniel Ferguson,rchambers,DU5OQchgS+,richard77@gmail.com,-3688,092 Michael Prairie Suite 129,Markchester,Tennessee,26008,Trinidad and Tobago,092 Michael Prairie Suite 129,Markchester,Tennessee,26008,Trinidad and Tobago,PO Box 246,588.56,19 transactions,5/6/2022,5/19/2023,Active
CL0004,Jay Ayers,xwilliams,$2OPMp6l9+,heather03@klein.info,-8354,8083 Karen Ville,Abbottport,Ohio,89698,Palau,737 Ernest Terrace,Lake Craig,Iowa,15346,Christmas Island,,16.66,14 transactions,6/1/2021,7/18/2023,Suspended
CL0005,Dennis Terry,howellmegan,Ag07Wm+w(+,john45@gmail.com,(995)773-3121,402 Jeffrey Club,Nelsonhaven,Indiana,33573,Mongolia,402 Jeffrey Club,Nelsonhaven,Indiana,33573,Mongolia,,325.42,14 transactions,12/14/2021,1/6/2024,Suspended
CL0006,Joseph Caldwell,elizabeth68,#4TdVL8rC#,qellis@gmail.com,(069)187-3076,359 Fuller Ramp Suite 555,South Jenniferburgh,Idaho,6604,Kuwait,359 Fuller Ramp Suite 555,South Jenniferburgh,Idaho,6604,Kuwait,,680,10 transactions,7/31/2023,6/5/2024,Inactive
CL0007,Ryan Potts,bryantgregory,#zEQmg*&^3,wilkersonmatthew@gmail.com,099.755.5580x759,825 Beasley Coves,West Donna,Oklahoma,55588,Czech Republic,825 Beasley Coves,West Donna,Oklahoma,55588,Czech Republic,,569.19,18 transactions,12/4/2023,9/28/2024,Inactive
CL0008,Brianna Mcdonald,saraestes,#NAME?,lawrence46@collins.com,544.088.0908x196,907 Michael Cliff Apt. 729,Cruzport,West Virginia,46505,Tuvalu,907 Michael Cliff Apt. 729,Cruzport,West Virginia,46505,Tuvalu,PO Box 608,631.73,5 transactions,6/5/2021,9/12/2023,Inactive
CL0009,Ryan Perez,jacob82,Gg+0Y6bp)2,lisa42@leach.com,(756)666-1094x438,1469 Simpson Knolls Apt. 547,Schroederbury,Arkansas,50920,Netherlands,1469 Simpson Knolls Apt. 547,Schroederbury,Arkansas,50920,Netherlands,PO Box 988,924.79,18 transactions,3/9/2020,5/17/2024,Inactive
CL0010,Eric Garza,amythompson,HH$p9gKq6$,mosesevan@hotmail.com,3903037945,357 Thompson Green Suite 043,North Michael,Wyoming,21694,Iceland,357 Thompson Green Suite 043,North Michael,Wyoming,21694,Iceland,PO Box 511,890.44,14 transactions,6/8/2021,7/2/2024,Inactive
CL0011,Elizabeth Sanchez,robertskaren,qe9voKqJr+,john21@gmail.com,4553769102,14788 Gutierrez Valleys,East Williamside,Tennessee,27379,French Southern Territories,84112 Lee Gardens,East Cynthia,South Carolina,91489,Cocos (Keeling) Islands,,145.75,4 transactions,10/5/2023,7/24/2024,Suspended
CL0012,David Wilson,bridgesdaniel,_Ug17FhP(3,sthomas@martinez.biz,962-771-5014x559,560 Shawn Port Apt. 347,Timothymouth,Florida,74823,Croatia,560 Shawn Port Apt. 347,Timothymouth,Florida,74823,Croatia,PO Box 201,456.94,19 transactions,5/15/2023,6/23/2024,Suspended
CL0013,Nancy Ritter,snowjonathan,jb6pL1mkW&,bettyharvey@johnson.com,+1-925-790-4598x35551,5737 William Port Suite 207,Scottfort,Arizona,97911,Lithuania,3474 Barker Estate Apt. 010,Amberbury,New Jersey,27402,Reunion,,872.71,7 transactions,4/20/2022,1/24/2024,Active
CL0014,Erin Martinez,sgilbert,O#XZAy^!^1,ashleyryan@gmail.com,001-326-339-7484x7684,255 Kaitlyn Manor,Elizabethland,Florida,48975,Canada,255 Kaitlyn Manor,Elizabethland,Florida,48975,Canada,PO Box 819,127.68,4 transactions,11/29/2022,1/16/2023,Active
CL0015,Brian Wells,zcameron,_tH3r+MzO3,edwardssamuel@yahoo.com,822.559.4795x00184,94858 Cruz Prairie Suite 243,Janetside,Rhode Island,26277,Macao,94858 Cruz Prairie Suite 243,Janetside,Rhode Island,26277,Macao,PO Box 908,615.09,9 transactions,7/27/2020,11/6/2023,Inactive
CL0016,Shaun Mack,selenanichols,4CkPnY7m+C,christinemeyer@yahoo.com,(032)162-1692x03877,17085 Terry Isle,Nathanielview,West Virginia,77458,Moldova,343 Leslie Walk Suite 451,New Matthewport,Nevada,51463,Western Sahara,PO Box 566,992.28,19 transactions,2/27/2022,1/11/2024,Inactive
CL0017,Christie Hamilton,ijohnson,&6MfPs(f2T,larry77@gmail.com,565.052.9648,5054 Kristy Hill,Pattyfort,North Dakota,4975,Spain,371 James Key Apt. 090,Port Wesleystad,Arkansas,34635,American Samoa,,442.59,1 transactions,10/12/2023,5/23/2023,Suspended
CL0018,Bob Powell,brandon12,m$09V%qp!N,ann12@santos-burton.com,274.886.8379,6602 Johnson Shoals,Benjaminburgh,Alabama,67577,Bahamas,6602 Johnson Shoals,Benjaminburgh,Alabama,67577,Bahamas,PO Box 985,260.64,19 transactions,7/8/2022,4/15/2024,Active
CL0019,Julie Smith,wallacejessica,p_0DO(g&b6,jamessandoval@johnson-wilson.com,9761936891,0782 Thompson Mill Suite 796,South Brianside,Indiana,63594,Namibia,0782 Thompson Mill Suite 796,South Brianside,Indiana,63594,Namibia,,55.26,19 transactions,3/29/2021,5/21/2024,Suspended
CL0020,Robert Adkins,shawcaitlyn,AH6G9rCa%s,hescobar@klein.com,9775845021,046 David Crescent,Jaclynport,Massachusetts,13405,French Guiana,046 David Crescent,Jaclynport,Massachusetts,13405,French Guiana,,992.05,11 transactions,7/23/2021,7/18/2024,Suspended
CL0021,Michelle Martinez,patriciasmith,R@1xRniDQ%,lori45@yahoo.com,895.862.4224x3996,3863 Lopez Camp Apt. 376,Wilsonstad,Vermont,2436,Antigua and Barbuda,3863 Lopez Camp Apt. 376,Wilsonstad,Vermont,2436,Antigua and Barbuda,,131.74,3 transactions,9/26/2023,9/24/2024,Active
CL0022,Tammy Shields,jonesphilip,I4nY$$R3%c,richardfuller@delgado.com,7606105541,06650 Richard Drives Apt. 510,Amybury,South Carolina,69107,Mauritius,6249 Dickerson Mews Apt. 440,Jefferyberg,Maryland,19451,Netherlands,,172.04,13 transactions,1/7/2021,6/13/2023,Inactive
CL0023,Steven Johnson,ryanbarker,kUKftTPe_2,xsmith@gmail.com,118.828.2992,693 Miller Summit,South Steven,North Dakota,17339,India,693 Miller Summit,South Steven,North Dakota,17339,India,,666.48,20 transactions,3/23/2021,10/14/2023,Inactive
CL0024,Christopher Evans,smithstacey,Tv0jZ1qy*X,codybyrd@gmail.com,001-074-862-5085x31993,7600 Lori Pines,Lake Tyler,North Dakota,99702,Armenia,7600 Lori Pines,Lake Tyler,North Dakota,99702,Armenia,,751.84,17 transactions,2/17/2023,7/1/2023,Suspended
CL0025,Jane Thomas,frank12,Js9f1Kh7%*,michaelsalas@mercado.com,(860)524-4000,048 Cunningham Ranch Apt. 113,East Williammouth,Oregon,38287,Finland,048 Cunningham Ranch Apt. 113,East Williammouth,Oregon,38287,Finland,PO Box 501,285.09,8 transactions,5/24/2022,1/27/2024,Suspended
CL0026,Pamela Cross,campbellbruce,4!_8Uka8mg,johnlevine@peterson.biz,6079101150,6904 Miguel Knoll Suite 337,East Erinhaven,North Dakota,24258,Greece,52483 Christy Neck,Jessicaburgh,Tennessee,24045,Greenland,PO Box 481,40.84,2 transactions,8/22/2022,7/27/2023,Suspended
